YearsExperience,Salary,Prediction
1.1,39343,35907.2120082248
1.3,46205,37853.45277587387
1.5,37731,39799.693543522946
2.0,43525,44665.295462645634
2.2,39891,46611.53623029471
2.9,56642,53423.37891706647
3.0,60150,54396.49930089101
3.2,54445,56342.740068540086
3.2,64445,56342.740068540086
3.7,57189,61208.341987662774
3.9,63218,63154.58275531184
4.0,55794,64127.703139136385
4.0,56957,64127.703139136385
4.1,57081,65100.82352296092
4.5,61111,68993.30505825908
4.9,67938,72885.78659355722
5.1,66029,74832.0273612063
5.3,83088,76778.26812885537
5.9,81363,82616.99043180261
6.0,93940,83590.11081562714
6.8,91738,91375.07388622343
7.1,98273,94294.43503769704
7.9,101302,102079.39810829336
8.2,113812,104998.75925976696
8.7,109431,109864.36117888964
9.0,105582,112783.72233036326
9.5,116969,117649.32424948596
9.6,112635,118622.44463331049
10.3,122391,125434.28732008227
10.5,121872,127380.52808773132
